question_id,question,question_sentiment,answer,answer_sentiment
773525811,brow y u getting shit? u took a couple of allies books and everyone lips there tits off about it? y is that a big deal? don't listen to there shit they will want u in there parts in a couple of weeks. and if everyone's slipping shit i wonder wat they will do when u actually do something bad. i <3 u,positive,what tits?,positive
question_box_130719382088,Babe wanna fuck,positive,Ya,positive
question_box_125336387105,quit talking shit on penn! she's the realise nigger you'll ever know!,negative,i bet this was penn lmao,positive
question_box_115011371156,Are you a happy person?,positive,Fuck yea,positive
question_box_133218395780,go out with brandon or i'll kill my self dead serious i have a gun right next to me,negative,k,positive
question_box_66594683199,Whoever says hooka pens aren't better than cigs you're fucking stupid‎  Matthew Anthony,negative,...idk. people could tell me anything about drug I wouldn't know the difference.,positive
773525817,harur tokos it's true he even said it to all kissed an shit utf,positive,so you're going to believe the guy who lied to everyone about everything? he caused all this shit this year and bulshited everything lmao this guy is honestly stupid and thank you yoaris for slapping his dumbas . first of all that disgusting i would never kiss him second of all i've never kissed anyone..,positive
question_box_112650456159,"people seriously do know who you are, and fuck all the people who hate you, as long as you have a couple loyal friend by your side, none of the other bitches matter. i'd rather have a couple best friends than a lot of people who i am friends with.",positive,thanks i guess :) you should snapchat me or something,positive
773525630,how many teeth do you have?,positive,enough to bite yo ass,positive
question_box_115160195813,ass or tits??,positive,ulm utf .,positive
question_box_128825677530,"""UR EYES ARE AS BROWN AS THE SHIT I TOOK LAST NIGHT""-zack the real mvp‎  claire marie",positive,"""WHAT ARE YOU DOING?!""""Just being friendly. ;)""",positive
question_box_111262582500,Would you fuck?,positive,well,positive
question_box_117510850449,"sometimes, i'm always upset. it's because i worry about my friends and death and all that kind of stuff... and i always wonder, ""will i get a new body once i die? do i get to choose be a boy or girl?"" or stuff like that. oh, and arm... i'm around zealand's age...",positive,"funny you're so much youNGER than i expected you to be.but anyways, believe it or not, that's all kind of normal stuff to think about. everyone wonders about it at least once. at least, i know that i definitely have. and you shouldn't worry so much about friends or death! you're so young, so spend your time enjoying your life instead of worrying about it! you deserve to enjoy yourself!",positive
question_box_125184928593,tf is that annoying ass person saying we're annoying?! like wtf come off anon lets see who your bitch ass is?! YOURE NOT ANNOYING JELYN!!! ly❤️,positive,riight lol thanks youuu lyt ❤️,positive
question_box_121134287267,what do you think people should do more often?,positive,shut their mouths cause i'm done with people's shit,negative
question_box_125929617672,So many girls want to beat your ass at eldo.... :D,negative,I barley even know any girls at eldo soooo,positive
question_box_107334222564,What does money smell like?,positive,asshole & cocaine,positive
773525669,just back off he not your path muddy,positive,okay first off stfu your making yourself look stupid as hell and all your doing is making me laugh lol your not his girl we already discovered that his girl is ficken gorgeous and funny and a cool ass girl so she deaf not you. and yes we are path budies so that sucks for you..goodby now,positive
question_box_129506908040,"dude , rememeber when we would do those insanity shit I forgot what its called .. But we would always be in the back .. And make fun of Miriam ‎  Laura Rodriguez ❤",positive,Lmfao  yesssss  asf . She would get us introuble ,positive
question_box_131084723610,if you could break the no kill rule who would you kill?,positive,"""why would you like to know? do you perhaps think you could be a candidate for such thing?""",positive
question_box_119148767249,what is your favorite children's story?,positive,there is a book that drives me crazy everyday bc in elementary i saw it like a times and always wanted to find it again because i never remember the title. there's like a girl (maybe princess) and there's camel and a desert and they visit tents and a city. (?) it's not aladin it's something else. ugh. it still haunt me and i cannot die until i know this important information.,positive
question_box_115834501476,Why do people kill each other?,positive,crazy..lol only answer I can think of..,positive
question_box_128383804958,nigga no one is even going have fun dancing with your uncle you fuck,negative,"you know what i think is funny? youre all mad at me because i didnt invite you to my party but you'll come on here and talk shit anonymously an talk crap about me to all of my closest friends thinking that theyre not gonna tell me ( you know who you are ). but you know what i dont care anymore because it's my house my party and i only invited my real friends because you all can claim that you were ""their for me when i needed it most"" but obviously you werent because you wouldve been invited. so if you still honestly have something to say to me then you can say it to my face between today and monday or even at graduation but im tired of getting them on ask an by the way fuck you",negative
question_box_109595693731,you are stupid for agreeing with cheyenne about that dalton shit,negative,You obviously don't know anything about the situation. lol bye.,positive
question_box_113966868220,we,negative,stfu,negative
question_box_48234463304,Khadijah is on my bus & she thinks she is so cool but she's not  She'll never be a rho hoe,negative,amen,positive
773526139,nah...i'd fuck the shit out of you,positive,nigga you gay,positive
question_box_110058927973,yeah holy crap he stopped talking 10 minutes before we got back ):,positive,I had some weird ass dream cuz of him dude,positive
question_box_116510080500,Fuck me rough all night long❤️ check recent‎  ♛❤️Śüpęrwømåñ♛❤,positive,I mean. Im not saying noo soo..Come here (;,positive
question_box_115761505688,what makes you crazy mad?,positive,face ass pp and them starting is behind my back i rather for them to hurt me with the truth then comfort me with a lie. if your face dont come around me,negative
question_box_114054144506,Why do people kill each other?,positive,lots of reasons.,positive
question_box_133069628818,I'm jk ‎  Leslie Catalan,positive,Better bitch,negative
question_box_130679947350,whoever is hating on allie please stop! allie has a lot of friends! the reason you are asking these questions is because you are jealous of her! please stop making people feel bad for no reason. and does it kill any one for a 13 year old to say a bad word every once in a while?? no. please stop.‎  ainsley,positive,thank you,positive
question_box_129866880967,Rate// smoothie‎  Brin Glass,positive,bitch,negative
question_box_103649572677,anesa?,positive,she is so pretty and nice!! my nigga :*,positive
question_box_124295055891,nice ass,positive,i take good care of it,positive
question_box_127907188958,tyler didn't treat you bad stfu,positive,did you date him ? no but okay,positive
question_box_126496984777,all need cut that face ass shit out before i get each to pounce on their ass lmao bitches these days . hop off loses andre dont wanna get depthroated by u hoes by,negative,each won't do shit utf lmao,negative
question_box_129487350100,What is the one thing you want to experience before you die? STAIF‎  Fahad Malik,positive,When I am at my last days of dying then I will tell u but right now I am too small to think about death yar so sryyyyyyyy ,positive
question_box_28977914961,You gone be shaking' that ass at prom?,positive,heck ya!!!!!!!!,positive
question_box_126426654861,oh shit if it's causing you that much problems want me to delete the pick of you? on my in..,positive,is this alan ? haha,positive
question_box_126816836850,She she always dry with you so that's why u never post a pic,positive,let me tell u something.......SHE DOENST EVEN KNOW WHO TF YOU ARE AND I DONT EITHER. SO WHO TF ARE U? SO U CAN STOP BEING A LITTLE BITCH AND DEAL WITH THE FUCKING PROBLOM,negative
question_box_104363357783,ass ass ass ass ass ass you have a nice ass,positive,LOL OLOL um thanks.,positive
question_box_123652751182,which word do you use most often?,positive,"""shit"" ""omg"" ""eh"" ""are you serious"" ""fuck""",positive
question_box_107526904648,"Damn, nigga. You know him. Lol",positive,Ohh really cx lol,positive
question_box_120651159472,or freshman team is gonna be ass next year,positive,hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha actually dielng ogg in,positive
question_box_124365920967,actually you can fuck yourself,negative,dumbas,negative
question_box_129029155058,Bitch lay off Lena she wants me so stfu,negative,1) i never said i want her.... 2) sure she does...,positive
773525708,say it to my face you striped ass fuck you such a prick get off anon you scared ass bitch ill kill you kevinfaulkner,negative,exactly like utf you bitch you are scared to come of anon so stfu you nasty ass hoe! you have no fucking right to be talking shit about people so fuck off!,negative
question_box_110080912584,do you already have ask.am pp for phone?,positive,fuk no,positive
question_box_117926661777,who Da fuck said nigga!!!!!!! bout to pull a 187 code red up in this bish forreal,negative,K,positive
question_box_118888910277,you weren't suppose to answer that dumb bitch,positive,*cry laughing emoji,positive
question_box_56597541598,do you like big cock or small?,negative,why are people asking me this.,positive
question_box_119596254758,why do you always talk shit about everyone? you're always passed at the word. you got issues dude,positive,"*world, and go to hell.",negative
question_box_132313725116,Y do u even like Allison she so gay,positive,fuck off,negative
question_box_61386120648,Nigga,positive,"I'm white, go get a new pair of eyes and while your at it, a brain",positive
773525782,halted or sweet popcorn?,positive,halted. too much sweet will kill you (?),positive
question_box_112918568063,what celebrity irritated you the most?,positive,shahrukh khan....avnu'll kill me for sure :p,positive
question_box_125640173436,can i lick your ass? c:,negative,utf,positive
question_box_131002825160,"send ""let's fuck"" to pp u follow",positive,no,positive
question_box_65798253857,I can't believe I have to do this all over again U BETTER FUCKING LOVE ME,positive,HAHAAHA love you(;,positive
question_box_106575108440,Heard you choked on 9 dicks,negative,"Bitch what do I look like, your mom?",negative
question_box_128799190536,Who is Ava,positive,I'm going to kill Ava,negative
question_box_107156411327,"1,8,10,12‎  Satan's Bitch",positive,Thanks(: yah we should,positive
question_box_129105015990,th i MiSS you and youRE far. text me you LiTTLE SHiT headaaa @jordan(;,positive,i love you aa,positive
question_box_122092952697,CHARGERS STILL SUCK!,negative,"Guessing this is Lappin ""trying"" to talk trash on my team. Just wait buddy.",positive
question_box_114943633137,thoughts on ass spanning?,positive,lui,positive
question_box_128464413566,I will when you post a picture of your feet,positive,fucking bye .,positive
question_box_125626897393,"would you rather live in the mountains, or by the sea?",positive,mountains bc what if the ocean pills over and u die i mean rip,positive
question_box_50182668433,Lol! That made me crack up! Plz! U want to be cool so bad! But ur not! I will kick ur ass and Licis ass at the same time! Ur a fucking pussy either wise u wouldn't be all talk!,negative,U know wat John was right ur a nothing a nothing! Ur trash! This might be rude but bitch u have done so much to me no more nice me! Don't talk shit about lici she will kick ur ass and its time someone set u strait u dumbass nobody u need ur sister to protect u u can't fight ur own fights bitch that's funny,negative
question_box_130326640117,you're so fucking pretty. I'm jealous!!!!,positive,"Thank you so much Don't be jealous, everyone's beautiful in their own way.",positive
question_box_120970086478,tell your sister to loose weight so do you know i obese fuck :********,negative,"lmfao learn how to spell first. but ass nigga, stfu about my sister she is perfectly fine the way she is.",negative
question_box_108162561314,Can we fuck,negative,can we not,positive
question_box_104421675283,u so fucking sexy man i want u,positive,the. but join the club with the rest of the nigga that want me but can't get me,positive
question_box_120032506558,see you admitted,positive,"no, your just annoying as shit.",negative
question_box_106255181818,You would be a bad ass boxer no lie,positive,thank you. still wondering who you are??,positive
question_box_21981745003,Do u cut,positive,No im scared to & it freaks me out,positive
question_box_107382092366,"long tbh : your seriously uy <3 you leave me speechless bb . I love you booboo , wish y'all the best with fagget ass Cody (x your a great friend daisy , I can always count on you bb (-: hahha well I gotta go clean my damn gauges so bye (-:‎  paola rubio",positive,Aww thanks girly <3 your amazining(:,positive
question_box_109811639979,your gay nigga what black nigga takes that many selfie,negative,don't hate cause yo bitches want me,positive
773525734,"fuk: sutton, oral, poppy",positive,"shoot! fuck:oral, marry: poppy (hah!), kill: sutton. i love you all!",positive
question_box_129959700575,Why are you cussing? You're in 7th grade. Chill.,positive,bitch i can say what i want,negative
question_box_129882131080,You only had eyes for him? HA FUNNY BITCH I BE SEEING yo bitch ass all up on otha guys trynna get their dick and shit? tf no honey  you funny you had eyes for anyone who tried talking to yo ass,negative,"LMFAO "" BITCH "" do you not know what a guy friend is? Do you not know that most people try to flirt with me?  you have me rolling on the mf floor . Fuck you talking about? I try to grab a niggas dick  dead asf . I ain't like the other girls doing that type of shit bet you do it  gtfo or kik me witcho pussy ass still talking shit on anon . Judging me just cause I hang out with guys?  Salty much?  Why tf you worried bout wtf I do anyways? It ain't got shit to do with you unless your nigga trynna get all up on me like the rest  ha bitches always trippin' and salty for no reason ",negative
question_box_131072086589,Ahhhh you're mother fucking perfect,positive,you're so sweet ily anon ,positive
question_box_123596153179,why do all up people do nothing all fucking weekend,positive,because there's one day left in the weekend...,positive
question_box_125837937014,in you know him. what was up with mr gayboy seen's post,positive,please stop because clearly you have nothing better to do then make fun of people but ill give you something to do go die in a hole THaNKS:),positive
question_box_133366210674,anonymously kill me‎  S,positive,WHATT? NOHH!! NEVAAbut i'll definitely try to bring you back to life :'3.....anonymously,positive
question_box_49459054523,hahaha and she's being a ll bitch  ily but tell her i said happy b-day(:a @broke,positive,"hahahah she says ""thanks""",positive
question_box_115454329695,like for:  th sex or next nudes or ah kiss or miss fuck or truck (sent to everyone i follow),negative,i'm 13,positive
773526035,can fuck u in the throat,positive,can what,positive
question_box_128555227602,damn girl you so fucking cute,positive,aye thanksa,positive
question_box_61112407533,What's da freakiest thing u ever done?,positive,mee and my x fuck outside of his balcony,positive
question_box_131970330231,BAE AS FUCK ! HAI!‎  Amila Begic,positive,Yaasss bae ,positive
question_box_126393733514,Fuck Arianna,positive,i will,positive
question_box_102835025913,what is under your bed?,positive,random shit,positive
question_box_119157768340,"no problem man, you dont need that crap, why are the in your business anyway? if they have a problem with you, why do they keep talking to you?",positive,"that's what i'm saying, they won't do shit anyway its all good(;",positive
question_box_70849980403,"I dare you to wait and c. Yu better jump on it while u still got the chance, he dont follow people",positive,I don't want him to follow me. but I know that he doesn't want that ratchet bitch.,positive
question_box_120690503581,maybe it's the met? you know i just gutta get those bags out from under my skin.!,positive,you should probably stop.. you're gonna die..:(,positive
question_box_110788359240,"r:10  tbh: Nicky! im so glad we got close this year, your super nice and fun to hang with! and of course your ass;)",positive,Ahaha thanks davey :),positive
question_box_115131284078,how bad do you suck?,negative,well i made a diving play today(:  but i suck at hitting in!,positive
question_box_118888964293,What does sma mean?,positive,Suck my ass,positive
question_box_125529400050,lol u think manner's uR best friend. hahahahaha! well uR wrong he's not so you might wanna change you first best friend story.haha manner will never be uR bestie!,positive,"haha your funny, we already are best friends you bitch. who of are you to tell me he's not my best friend. bow stfu u ass",negative
773525968,drama fuck off,positive,what?me?i didn't say anything?,positive
question_box_123863880302,"Tbh~ J-Red! messege me for yours, kay buh bye. btw you suck :)‎  Esperanza Lopez❤️",positive,Okay dip (;,positive
question_box_67710786746,i heard you have an st . makes me realize how gross you really are :),negative,"foi .. i don't have a fucking st . i don't see where you got that from , but believe what you want because i think i would know more than you fucking know me.",positive
question_box_125996639844,who is the funniest person you know?,positive,fucking tyvion lmao,positive
question_box_37968716924,Juu think yhu have a big ass ☝ ur ass iz flattt girl !,negative,Okay? I have what I have I don't make a big deal!,positive
question_box_132260050363,Shadow The Hedgehog: *He giggled softly* We will See heh. :),positive,"*They finally made it to the kitchen, and Deanna get's everything out the fridge*Deanna: Okay, bear with me now....but I suck at cooking. Okay, we can start off cooking the bacon first! Lol",positive
question_box_112778123281,your day 1 nigga whatever you wanna call it,positive,dint he one,positive
question_box_48544026696,would you fuck justin,positive,obviiiiiii (;,positive
question_box_127536296697,emma die.a @rahaf a,positive,why,positive
question_box_121994143273,or so fucking pretty aaaa,positive,a thank uaa,positive
question_box_132966892151,Bruh y are u so fucking short?,positive,Lmao stfu!,positive
773525958,hi,positive,don't fuckin talk to me,positive
question_box_125035206340,you just posted that picture you stupid ass dip shit,negative,EMPTY,positive
question_box_127713556142,your ass is hot,positive,who r u,positive
question_box_112256462126,Aww well thats one lucky son of a bitch that gir.l wish u luck,positive,haha aw thank you (-:,positive
question_box_127716854178,Because you treat her like shit,positive,I don't treat either of them like shitt lmao. gtfo,positive
question_box_49745244967,you and belly.... fuck the man she with   belly and lance,positive,she got a man i'm not tryna hear that,positive
question_box_107405685793,What do you hate about going to the shower during wintertime?,positive,"It's how I perceive the temperature of the water. At the moment when I've gotten the water hot enough to not die from freezing, I start the shower. And then my hands and feet are pretty much boiling like lobster and the rest of my body is freezing gahhhhh.",positive
question_box_130509309899,"Want to play kill, fuc*, marry?? ",negative,No not really,positive
question_box_106955007966,haiti my bitch,positive,wasup ma nigga. lmao who is this,positive
question_box_116606901035,Shit did you study ?!!,positive,No :)))))))),positive
773526047,ok listen up. just because we dont like helena doesn mean we dont care about his fucking happiness so gtfu and stop acting like u know everyone *breath heavily* keys.,positive,yeah really i'm here to support austin not helena and austin as one.,positive
question_box_129224032002,What's your favorite thing to do in the spring?,positive,nothing bc my allergies suck in spring,positive
question_box_110114314024,nara ;*‎  Bryanna Choi,positive,AHAHAH fuck you in the ass,positive
question_box_108996485799,What do you think of people who cut thereself,positive,Just stahp cutting yourselves and Stay Strong(:,positive
question_box_109733631040,people pass me off...im sorry the bitch ruined or relationship,positive,hahaha things between christian and i are fixed thanks the that means a lot,positive
question_box_65364856097,What is in your fridge?,positive,"Shoes, obviously fucking food.. Haha",positive
question_box_126692782502,pap or ass,negative,why is everyone begging me about my butt!!!!!!!!!!!,positive
question_box_116081658055,r u a dog why do u beg‎  eren aydın,negative,Shove a stick up your old ass,negative
question_box_40720428369,go ahead beat me up twig bitch,negative,what.?,positive
question_box_113588236423,"Hey, like my 30 answers i ll like back 50 of yours. And if u send gitfs send me one i ll send back two of ur choice :) please pretty? :)‎  Malik Sameed",positive,Fuck your gift & likes.,negative
question_box_121329944329,seriously fuck everyone tho in life we are going 2 have people that are trying 2 mess us up & there is going to be people who will support us just know that you have a lot of supporters and that you are NOT ugly once you realize this you should be more happier you have to be strong I feel u so much,positive,Thank you :,positive
question_box_123843686566,Guys leave jen alone it's so fuckin annoying like she has a thing w someone rn so don't be talkin bout nudes what so ever and she didn't send them before she had a thing w someone nor she didn't send them ever so please stfu thanks‎  faith marie,positive,ily faithy❤️❤️❤️❤️,positive
question_box_121479226478,do you smoke?,positive,if i wanna die from an asthma attack,positive
question_box_124949871653,fuck u to,negative,I can get taller but you'll always be ugly,negative
question_box_110342883297,th ily and we need to hangout soon bc i might just die if we don't but you're gorgeous and fun to talk to;*a @alexa marcinczyk,positive,thanks ily,positive
question_box_126831915044,stfu with all this bulshit in for a fact even is not gay.. he's done some weird shit but that was a while ago and he has had girlfriend since. so stfu,negative,i didn't say he was gay...,positive
question_box_125239151049,Carston nigga‎  Carston Billy,positive,Ight niggi sc,positive
question_box_121195821086,Pap of you in a thong.,positive,die,negative
question_box_129149137079,"na ma sta(y) my ass at home, sounds like nah imma stay my ass at home.",positive,oh lord  i feel dumb smh,positive
question_box_129814875753,things you hate?,positive,NAME?,positive
question_box_124047308756,You suck ass‎  Natalie Fulton,negative,Only on the weekends,positive
question_box_126287704265,Girls are the asswholes in relationships they always fuck over the boi,positive,Lol,positive
question_box_114279158401,I promise you do because you have to go around your hole life with the ugliest fucking face on this planet,negative,Idgaf get a life and quit bugging people I'm playing softball so get off here,positive
question_box_127331467210,damn you are a rich ass white thick,negative,ok thanks for your opinion,positive
question_box_129878710123,fuck school‎  chrisbradley :D,positive,TRUE,positive
question_box_127445667852,why else would tommy date ya ugly ass,positive,no clue honestly,positive
773526006,"it had a battery inside it and i hit him and he was like dude what the fuck"" xd jason""",positive,shah omg he's such a girl,positive
question_box_127820485088,why not jerk off i have pick of you bud,positive,stfu u gay lord,positive
question_box_128094875016,opinion on tree brush and grass,positive,"utf . omg . how do you know about this? tree ; lowkey miss him, he's cool but after looking at his ugly ass selfie c ewbush ; da nigga cute as but if he asks that then we ain't talking cGrass ; he's da bomb.com but i hate when he takes my phone",positive
question_box_127485752927,"Yo man fuck off it doesn't matter if she has boobs or anything. Sure they can make a person look ""better"" in a way, but Abigail is beautiful and an amazing person and I love how she doesn't care about it. Abigail, stay amazing and beautiful and screw the haters!! You're perfect, stay that way!:) ❤️",positive,thank you anon(:,positive
question_box_128248086179,Abby likes Zander for personality Zach for sex that's what she told me yesterday at yv,positive,"Zach tried using me and Chelsea for sex. he is a pig, and he literally needs to fuck off. he doesn't understand that i won't relent. I HELD ABBY IN MY ARMS WHEN SHE WAS A BABY. she is my responsibility and i am not letting her get used.",negative
question_box_125149157815,th torn bare,positive,i love her so much and wish she went to his again:( she so pretty and really fun to be aroundaa i would die without her,positive
question_box_126188531263,Let me see you snap bitch I ain't scared never was and never will be,positive,Damn lol,positive
question_box_126561735730,you guns always fight like omg.,positive,"stfu, every friendship fights sometimes.",positive
773525648,or face resembles my ass,positive,sum.,positive
question_box_116117348241,Do you think it's right that grace is mad at keely,positive,I said I'm not in this little drama act. But anyway no I don't because Noah and keely have a thing? Cool they like each other let them fucking be. Idk not my business to be in,positive
question_box_122082895305,When did u say you were leaving?,positive,Why don't u and I play a game of fuck off. You go first.,negative
question_box_129402984947,Did Mylee kick your ass?,positive,hell yes,positive
question_box_130541225603,you have a big forehead,positive,stfu,positive
question_box_126301123108,I need to save children and if I don't do this then people are going to keep dying,positive,"Okay Robert I'm sorry if this comes off as rude but you need to get a reality check and put things in perspective. Right now all you're doing is causing drama and emotionally being there for the children is great but it's not going to save them. Life happens and so does death, no matter what you do millions of people die everyday, that's how the population stays at 7 billion and we survive,  we can't change that. I get it you're trying to help the kids but this isn't the way, I've told you the correct way and so have many other people you just new to read those answers and understand. All this drama isn't worth losing all your friends Robert, just go about this whole ""cancer cure"" thing the right way that many people have told you. I'm sorry if any of that came off as rude, that's not my attention but please I am begging you just get a reality check & leave all this social media until you go about this the right way. Until then, please stop asking me questions like this & just leave me out of it.",positive
question_box_127771900914,copycat lil bitch‎  K R A M E R,negative,cool,positive
question_box_123034020284,belly i hope you know that they are just gonna keep doing starting shit and again and again or just gonna keep apologizing it's not worth it,negative,they didn't even start it and it was basically my fault and i will take blame for this can you just stop getting involved,positive
question_box_125294550189,which was the last good movie you watched?,positive,cherleaders die,positive
question_box_111524921587,Can I grab your ass bae<3,negative,no,positive
question_box_110266762468,miles is the queen stfu,positive,"more like the queen of tweaking, no one wants to see that ait's not cool* :o",positive
question_box_115776825431,do you think she's gonna stay or die?,positive,idk but I wanna see it badly,positive
773525695,1. age? a. relationship status? 3. age of first kiss? a. ever made out? a. panties or things? a. bar or no bar? 7. ever had a guy suck your tities? a. ever given an he? 9. ever given oral? 10. ever received oral? 1. u a virgin or nah? 1a. do ass grabs turn u on? what other stuff turns u on?,positive,noah,positive
question_box_57200353061,what are all your classes ?,positive,classes are out ? oh shit hold the fuck up no one told me emma check right noW,positive
question_box_124391440362,Fuck u go away assface‎  kyle wayman,negative,0,positive
773526204,okay and your the retarded one,positive,nah nigga your the retarded one that on anon and hating,positive
question_box_125703039627,what do u think of guys using girls,positive,It's fucking pathetic how some guys believe that girls are toys and they don't have feelings. It truly pisses me off when guys use girls. Any guy that has used a girl has lost all my respect.,positive
question_box_11197103816,what do you think of the whole jenny and tifany fight?who do you think is right?,positive,"honestly, i think the whole fight is completely pointles. it's escalated to a point where whatever they were arguing about is just not worth it anymore. and it's getting way out of hand. i'm leaning more on tifany's side, because she's my best friend and all, and i know exactly what's been going on with her. but i don't like to make assumptions before learning about both sides, because i try to be as unbiased as possible. idk. i'm trying not to get involved. it's dumb, you know. i don't get why people start drama in the first place. like, why can't we just all sit down and talk about it, instead of talking shit and starting rumors? honestly, i'm just annoyed as fuck.",positive
question_box_125469331539,fuck u bitch,negative,look who's talking hoe....stfu before i say or fucking name.!agtfu of here,negative
question_box_126509005595,Yes it is.......,positive,well then fuck everything else is hell,positive
question_box_128510627915,Eric has a big dick it's huge and best yet he is circumcised,positive,Tmi nigga,positive
question_box_51161113437,How often do you buy things via the Internet?,positive,Never ;~; but I sell a bunch of my art and shit via the web,positive
question_box_23503218795,\(•_•)    )  )z   /  \ Bitch I'm fab.,positive,You sure are,positive
question_box_60417231036,"by responding to these messages, you're giving the anon what they want. just ignore them because it's not worth getting hurt over. you're a genuinely sweet girl and don't deserve to take shit from anyone, especially those loses sending you hate messages. love you! :-)a @christine karkafi",positive,awh thanks christine. i'm trying to ignore them but it's so hard not to respond.. /: but thankyou you're a really sweet girl too. love you too! a :),positive
question_box_132597053231,If there's is two option for you to suck a tiny dick from a handsome man or a big long dick from an ugly man?,positive,Wtf,positive
question_box_38860564331,nigga,positive,of,positive
question_box_117159056581,Kade is a broke ass nigga. Y u gotta pay him he make err body pay him. Me shaun his ex errbody,positive,uhm i owe him money for something he did for me ok.stfu.,positive
question_box_128433779336,hottest du such so linen hammer tag ? am beaten kann man in be dem letter am see verbringen wie denkst du ?  ache grade hot or not for die somerquen went du lust hast much it <3a @tristen *,positive,nah,positive
question_box_133219387284,Ur eyebrows r so crooked in your profile pic lmao,positive,at least I don't have a shitty/immature personality to send anonymous hate over fucking eyebrows. get over yourself. 😘😘😘,negative
question_box_131336121289,please do it! you could really kill it rrrr!,positive,i will i promise,positive
question_box_126618011615,When's your birthday?,positive,October 10!! I feel like this person is going to use this info and then try to kidnap or kill us,positive
question_box_56066814027,you wanna fuck,positive,naw i'm cool,positive
question_box_47510759355,"whoever is saying the shit better shut the fuck up. and, u are one of the prettiest, funniest, nicest people i no not to mention the fact that or perfect. you are extremely gorgeous and don't listen to these assholes who don't even have coorage to say this to or face. ily mon",positive,"awh thanks, love you too",positive
question_box_109407638287,th i seen your thing,positive,"th , fuck you and youR perverted questions get off anon.",negative
question_box_127577199196,how can people hear their own thoughts?,positive,"i don't know SHit, don't ask me, i was WONDERiNG tHE SAme tHiNG BitCH",negative
question_box_106783374471,What is the stupidest thing you have ever done?,positive,Cut my hair.,positive
question_box_132101945997,how many times do you hit the snoze button before getting up?,positive,fuck due system of a down MaKES me WaNNa go into a most pit,negative
question_box_125471206386,Fuck baby I like you,positive,chill,positive
question_box_122891732273,What was the best movie of 2014?,positive,Emilies ass,positive
question_box_123259191845,Can I suck ur dick,negative,You need Jesus,positive
